id,x_m,y_m,z_m
0,-1.993463,1.687519,0.000000
1,-1.169143,1.674600,0.000000
2,-1.653272,1.519407,0.000000
3,-0.943927,1.412881,0.000000
4,-0.056054,1.407215,0.000000
5,-1.214490,1.340154,0.000000
6,-0.345509,1.337670,0.000000
7,-1.975678,1.328979,0.000000
8,0.420718,1.276223,0.000000
9,1.157789,1.208312,0.000000
10,-0.661529,1.203971,0.000000
11,-1.441687,1.100814,0.000000
12,0.681714,1.057075,0.000000
13,-1.141286,1.055808,0.000000
14,1.810592,1.054506,0.000000
15,0.131020,1.010574,0.000000
16,-0.276513,1.001324,0.000000
17,-1.848216,0.947475,0.000000
18,-0.883404,0.926398,0.000000
19,1.489464,0.907101,0.000000
20,-0.493778,0.874519,0.000000
21,0.834745,0.778418,0.000000
22,0.357551,0.770164,0.000000
23,-1.252807,0.735814,0.000000
24,-0.797317,0.728963,0.000000
25,2.087307,0.713399,0.000000
26,0.028123,0.687436,0.000000
27,-2.259742,0.594388,0.000000
28,-1.807725,0.585852,0.000000
29,-0.361441,0.573996,0.000000
30,1.873019,0.573671,0.000000
31,-0.598048,0.514872,0.000000
32,-0.978050,0.499740,0.000000
33,0.768984,0.499350,0.000000
34,0.433798,0.480933,0.000000
35,0.179973,0.479901,0.000000
36,1.644841,0.479733,0.000000
37,1.233600,0.448924,0.000000
38,-1.491373,0.376175,0.000000
39,-0.263157,0.364418,0.000000
40,-1.204882,0.347091,0.000000
41,-2.302579,0.300557,0.000000
42,0.978354,0.256744,0.000000
43,2.099327,0.225161,0.000000
44,-0.457765,0.210352,0.000000
45,-0.804454,0.199989,0.000000
46,0.525632,0.185017,0.000000
47,1.430683,0.168654,0.000000
48,-0.093405,0.166313,0.000000
49,-1.487098,0.103251,0.000000
50,1.904202,0.094154,0.000000
51,-2.063457,0.093849,0.000000
52,-0.584411,0.000174,0.000000
53,0.818437,-0.009566,0.000000
54,0.172683,-0.031971,0.000000
55,1.574849,-0.061626,0.000000
56,1.120658,-0.098162,0.000000
57,-0.178066,-0.117208,0.000000
58,-0.771326,-0.166469,0.000000
59,-1.414589,-0.198149,0.000000
60,-1.068557,-0.204020,0.000000
61,-1.718585,-0.210940,0.000000
62,0.653599,-0.259757,0.000000
63,1.473566,-0.270789,0.000000
64,-2.058728,-0.337003,0.000000
65,0.429628,-0.382480,0.000000
66,-0.860948,-0.393588,0.000000
67,1.283551,-0.397171,0.000000
68,1.887848,-0.399834,0.000000
69,2.189705,-0.409914,0.000000
70,-1.770493,-0.432966,0.000000
71,0.060528,-0.453411,0.000000
72,-0.361868,-0.474360,0.000000
73,-1.330454,-0.481569,0.000000
74,1.618228,-0.519939,0.000000
75,0.672613,-0.523719,0.000000
76,-0.649359,-0.572131,0.000000
77,-1.055984,-0.591683,0.000000
78,-2.430363,-0.648219,0.000000
79,1.162415,-0.674362,0.000000
80,2.053273,-0.697473,0.000000
81,-1.619852,-0.720401,0.000000
82,0.270390,-0.723757,0.000000
83,1.791682,-0.741792,0.000000
84,0.845866,-0.771219,0.000000
85,-0.507785,-0.808993,0.000000
86,-0.210710,-0.836444,0.000000
87,0.560780,-0.877917,0.000000
88,2.386539,-0.879482,0.000000
89,-1.017505,-0.898173,0.000000
90,-0.732259,-0.945380,0.000000
91,-2.042348,-0.957257,0.000000
92,0.072847,-0.960019,0.000000
93,-0.366536,-0.963191,0.000000
94,1.711175,-0.986073,0.000000
95,-1.382678,-0.988775,0.000000
96,1.319667,-1.072355,0.000000
97,2.046061,-1.089014,0.000000
98,0.829767,-1.181024,0.000000
99,0.419642,-1.187775,0.000000
100,-0.240715,-1.207299,0.000000
101,-0.835629,-1.207946,0.000000
102,1.800394,-1.270428,0.000000
103,1.383018,-1.334465,0.000000
104,0.115149,-1.418483,0.000000
105,1.075721,-1.423909,0.000000
106,1.990196,-1.534633,0.000000
107,1.669087,-1.565296,0.000000
