id,x_m,y_m,z_m
0,0.787379,1.10477,0
1,0.498244,1.08516,0
2,-0.675625,1.05848,0
3,0.138407,1.01822,0
4,-1.07369,0.960036,0
5,-0.287088,0.915182,0
6,0.311067,0.900484,0
7,0.0162273,0.859365,0
8,0.894195,0.81477,0
9,-0.743533,0.725006,0
10,0.502504,0.702721,0
11,-0.426153,0.640474,0
12,0.749336,0.577275,0
13,-0.996602,0.557268,0
14,0.244969,0.541946,0
15,0.994925,0.440152,0
16,-0.161156,0.425323,0
17,-1.28439,0.391654,0
18,-0.77191,0.355796,0
19,0.713741,0.336146,0
20,-0.503406,0.273191,0
21,0.147352,0.15347,0
22,0.568542,0.131462,0
23,-0.694197,0.103738,0
24,-1.3399,0.0959404,0
25,-0.174297,-0.00905263,0
26,0.829045,-0.012475,0
27,0.493008,-0.101435,0
28,0.129731,-0.141748,0
29,-1.1121,-0.158453,0
30,-0.796461,-0.176628,0
31,1.06595,-0.264774,0
32,0.339148,-0.295648,0
33,-0.466793,-0.299808,0
34,0.698975,-0.365794,0
35,-0.891612,-0.472049,0
36,0.481779,-0.47681,0
37,-0.0643997,-0.507872,0
38,0.94098,-0.528726,0
39,-0.039514,1.22779,0
40,-0.43488,1.35358,0
41,0.539614,1.36602,0
42,1.18619,0.769271,0
43,1.12229,1.27645,0
44,-1.37148,1.14149,0
45,1.25144,-0.0647217,0
46,-0.310909,-0.566273,0
47,-0.63274,-0.660162,0
48,0.130087,-0.675274,0
49,-1.09678,-0.716893,0
50,1.06857,-0.700918,0
51,0.678406,-0.738606,0
52,-0.171136,-0.83016,0
53,-0.633254,-0.946586,0
54,0.496076,-0.910711,0
55,0.102846,-1.01222,0
56,0.915219,-1.02063,0
57,-0.421209,-1.1817,0
58,0.638276,-1.22103,0
59,1.23702,-1.16014,0
60,-0.118687,-1.3352,0
61,0.37322,-1.3541,0
62,-0.849574,-1.43619,0
63,-1.24202,-1.22048,0
64,-1.35388,-0.488571,0
65,-1.4912,-0.840442,0
66,-1.52286,-1.43738,0
67,-1.69281,-0.98383,0
68,-1.54696,-0.29663,0
69,-1.8344,-0.523514,0
70,-1.49623,-0.0694699,0
71,-1.86922,-1.16844,0
72,-1.99472,-0.69606,0
73,-2.23063,-0.0955445,0
74,-1.93164,-0.0372806,0
75,-1.69481,0.140146,0
76,-2.16223,0.215428,0
77,-1.91435,0.318096,0
78,-2.53318,0.319317,0
79,-1.89043,0.574639,0
80,-2.24254,0.60063,0
81,-1.5252,0.746094,0
82,-2.04139,0.832431,0
83,-1.64729,0.988059,0
84,-2.28933,1.05005,0
85,-1.9797,1.15067,0
86,1.33212,0.512419,0
87,1.413,1.06746,0
88,1.47156,0.236139,0
89,1.62579,0.593948,0
90,1.62563,0.821882,0
91,1.53651,-0.0279902,0
92,1.92942,0.794442,0
93,1.77205,1.39578,0
94,2.03177,0.375165,0
95,2.22074,1.18234,0
96,2.31022,0.228013,0
97,2.33521,-0.0672475,0
98,1.89214,-0.161604,0
99,1.38549,-0.432258,0
100,2.01247,-0.504361,0
101,1.65112,-0.744718,0
102,1.3488,-0.768668,0
103,2.22099,-0.847421,0
104,1.48428,-1.02914,0
105,1.9509,-1.10496,0
106,2.32047,-1.19202,0
107,1.51499,-1.36499,0
